Year,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Consumption (GWh)  Ì¶  based on estimated sales,16191.0,17305.8,18139.3,18757.1,18893.4,19001.9,19415.1,19963.3,21054.1,22613.1,23752.2,24205.0,25080.6,25690.7,26474.7,27156.6,28806.4,29420.0,28761.6,29893.6,30539.1,31186.1,31923.0,33253.0,32968.9,34075.2,34695.3,35419.3,36227.9,36462.0,37793.9,38368.5,39228.9,39662.5,39188.2,39321.9,40578.1,40335.5,39986.5,39453.4,40241.9,40749.5,40232.2,39933.0,39965.2,40313.7,39448.8,39593.3,39062.2,39135.3,39107.2
"Agriculture, Forestry, and Fishing",367.9,388.6,405.9,429.1,412.3,407.1,444.5,471.5,505.8,503.2,584.4,587.0,569.7,566.2,656.2,662.5,678.8,708.5,748.4,777.1,843.3,891.4,970.5,1125.0,1200.3,1272.1,1279.0,1415.3,1415.9,1452.7,1405.3,1457.0,1674.7,1797.4,2011.0,1972.0,2202.9,2058.5,2228.3,2405.0,2637.2,2818.8,2523.7,2588.3,2285.5,2545.2,2687.3,2603.6,2426.1,2557.2,2746.3
Industrial:,5763.6,6043.1,6472.4,6976.3,7223.7,7415.3,7643.9,7761.8,8118.5,9126.0,9852.2,10027.3,10363.1,10691.0,10989.6,11360.9,11744.7,11977.2,11600.6,12580.2,12893.0,13073.2,13239.2,13752.4,13608.0,13908.2,14392.3,14515.6,15187.2,14737.3,15492.7,15755.9,15195.3,15240.2,14643.5,14080.6,15229.2,15200.7,14492.2,14390.5,14420.2,14609.4,14547.2,14616.0,14621.5,14827.5,14035.2,13757.8,13576.6,12904.6,12480.0
Mining,,,,,,,,,,,,,,,,,191.0,234.7,280.1,308.0,337.7,382.4,382.7,386.5,328.5,282.0,341.0,352.4,331.7,312.9,289.6,322.3,328.4,370.8,428.3,489.4,425.5,400.0,461.1,465.4,446.5,405.2,361.5,417.7,449.5,450.0,416.5,426.1,431.9,436.7,495.8
Food Processing,,,,,,,,,,,,,,,,,1510.9,1483.8,1464.8,1591.4,1679.0,1700.2,1708.7,1860.0,1783.8,1823.9,1870.0,1961.9,2086.3,2047.6,2119.5,2275.6,2211.4,2172.7,2257.0,2262.4,2251.7,2230.1,1967.7,2200.5,2312.0,2437.5,2506.8,2662.6,2776.2,2807.5,2873.1,2851.2,3014.0,3011.2,3060.0
"Wood, Pulp, Paper and Printing",,,,,,,,,,,,,,,,,2750.6,2931.4,2870.2,3106.0,3157.3,3277.8,3124.2,3235.3,3133.7,3469.9,3719.4,3754.7,4036.6,3714.1,4201.7,4132.7,3704.7,3445.1,3359.2,3614.5,3741.8,3700.9,3378.7,2701.1,2677.9,2728.6,2732.5,2697.5,2661.0,2576.6,2083.8,1685.0,1487.6,999.2,1089.6
Chemicals,,,,,,,,,,,,,,,,,707.7,696.4,689.4,710.3,706.4,692.0,680.2,721.9,707.6,662.2,657.5,710.5,718.9,679.2,643.4,753.1,798.8,774.9,760.5,707.0,704.1,714.7,740.6,751.6,732.3,774.5,819.3,865.7,779.7,800.5,764.1,746.7,533.4,439.9,436.7
Basic Metals,,,,,,,,,,,,,,,,,5465.7,5609.9,5307.7,5765.9,5755.0,5751.7,5966.2,6136.2,6275.1,6351.6,6346.6,6290.4,6334.0,6380.6,6669.6,6710.7,6613.5,6869.0,6300.8,5616.6,6749.7,6907.2,6545.7,6605.6,6549.9,6524.3,6453.4,6356.7,6387.1,6569.6,6239.6,6258.6,6271.4,6236.2,5649.3
Other Minor Sectors,,,,,,,,,,,,,,,,,1118.7,1021.1,988.4,1098.6,1257.6,1269.1,1377.3,1412.4,1379.4,1318.7,1457.8,1445.6,1679.7,1603.0,1569.0,1561.7,1538.5,1607.7,1537.8,1390.7,1356.3,1247.9,1398.4,1666.3,1701.6,1739.3,1673.7,1615.8,1567.9,1623.2,1658.1,1790.3,1838.2,1781.5,1748.7
Commercial,2534.5,2683.7,2861.8,3017.0,3042.9,3202.1,3323.2,3522.5,3814.2,4065.1,4321.9,4531.1,4809.7,5010.6,5340.3,5387.8,5320.6,5416.9,5316.9,5412.1,5520.8,5771.7,5934.3,6431.6,6450.7,6685.8,6904.0,6855.6,7068.5,7216.9,7788.6,8234.1,8814.5,9133.0,9025.0,8933.4,9005.0,8972.0,9363.7,9336.1,9339.8,9455.5,9459.7,9434.7,9491.6,9521.2,9170.6,9277.4,9292.7,9422.1,9368.4
Residential,7525.1,8190.3,8399.1,8334.7,8214.5,7977.3,8003.5,8207.4,8615.6,8918.7,8993.6,9059.6,9338.1,9422.9,9488.5,9745.4,10164.2,10426.6,10203.5,10226.0,10379.7,10546.2,10874.1,11034.7,10800.2,11298.5,11210.5,11725.2,11648.6,12148.6,12259.6,12097.0,12620.3,12567.0,12448.8,12953.7,12540.0,12592.3,12640.8,12301.6,12441.1,12469.1,12377.3,12381.8,12703.1,12650.6,12871.8,13247.5,12998.0,13238.4,13497.2
Transport,,,,,,,,,,,,,,,,,61.2,53.8,55.4,61.3,65.5,66.8,67.9,72.4,72.8,73.6,72.7,70.7,70.8,69.6,71.1,70.4,66.4,66.5,65.5,59.1,64.2,68.0,69.9,67.0,68.8,83.4,91.0,91.0,93.9,108.4,111.5,132.6,193.3,275.2,277.4